,Lat,Long,Alt
100,19.149798647687,73.00135763743417,0
200,19.15009562139936,73.00133032234425,0
300,19.15014289798843,73.00133054701594,0
400,19.15017665911837,73.0013307073652,0
500,19.15021711710226,73.00132376677641,0
600,19.15023736602781,73.00132386340451,0
700,19.15029135274155,73.00132412105252,0
800,19.15031833940977,73.00132424972972,0
900,19.15037904396667,73.00132453953252,0
1000,19.15039927389854,73.00132463611628,0
1100,19.15045320983492,73.00132489350985,0
1200,19.1505003897055,73.0013251185583,0
1300,19.15052060542047,73.00132521503909,0
1400,19.15054752112133,73.00132531258238,0
1500,19.15057436498573,73.00134662731992,0
1600,19.15060113096392,73.00135369040767,0
1700,19.15062789889061,73.00136075333278,0
1800,19.15067482606198,73.00138914669547,0
1900,19.1506882837499,73.00141047532118,0
2000,19.15074854024028,73.00145299060768,0
2100,19.15078202864481,73.00148134978508,0
2200,19.15080881586004,73.00150261594817,0
2300,19.15084230563017,73.00153097587089,0
2400,19.15087577920965,73.00155222901977,0
2500,19.15092267234941,73.00159477741093,0
2600,19.15094946214278,73.00161604529858,0
2700,19.15097626778298,73.00164442004962,0
2800,19.1510030431116,73.00165858193114,0
2900,19.15104992424566,73.0016940259965,0
3000,19.15107671607293,73.00171529562876,0
3100,19.15111018236003,73.00172944741077,0
3200,19.15117041854989,73.00175065865859,0
3300,19.15119717498969,73.0017506112769,0
3400,19.15123731347754,73.00175054026879,0
3500,19.15126407509037,73.0017504928565,0
3600,19.15131091289569,73.00175040982239,0
3700,19.15133098832886,73.001750374054,0
3800,19.151377824047,73.00174318248391,0
3900,19.15141127958551,73.00173601380622,0
4000,19.15143804446359,73.00172885621791,0
4100,19.15147149707222,73.00171457575738,0
4200,19.15151834618033,73.00170026855707,0
4300,19.15156518489221,73.00167173518889,0
4400,19.15159865469154,73.00165744715019,0
4500,19.15163212939938,73.00164315691652,0
4600,19.15168570795802,73.00162882566767,0
4700,19.15171919413776,73.00161453110223,0
4800,19.15174599081983,73.00160736310758,0
4900,19.15177949198963,73.00160018122544,0
5000,19.1518397902726,73.00157159485504,0
5100,19.15187330309565,73.00156440967349,0
5200,19.15190681979285,73.00155722334569,0
5300,19.15194035233123,73.0015429670886,0
5400,19.15196718908717,73.00153584849896,0
5500,19.152020864096,73.00152161097348,0
5600,19.15205440893859,73.00150737287207,0
5700,19.15206783057776,73.00150737271979,0
5800,19.15210137669673,73.00149313423755,0
5900,19.15218861300788,73.0014788945762,0
6000,19.15231611541438,73.00144329358449,0
6100,19.15257115687138,73.00138632370391,0
6200,19.15259800978113,73.00137915707727,0
6300,19.15277918593166,73.00135100066287,0
6400,19.15320169784955,73.0012877065851,0
6500,19.15355830847235,73.00124342444988,0
6600,19.15369308965585,73.00124274663671,0
6700,19.1537268014762,73.00124257705451,0
6800,19.15376051981366,73.00124240753345,0
6900,19.15380773647745,73.00124217001013,0
7000,19.15385496599228,73.00124193245887,0
7100,19.15393596109965,73.00124152511798,0
7200,19.15398321080134,73.00124130441566,0
7300,19.15402364136785,73.0012412024176,0
7400,19.15409777652967,73.00124101529335,0
7500,19.1541382204156,73.00124091321662,0
7600,19.15419889548034,73.00124076005785,0
7700,19.15422586553923,73.00124069200682,0
7800,19.15425283783802,73.0012406238862,0
7900,19.15429324319264,73.00124769573841,0
8000,19.15500207986926,73.00294945875692,0
8100,19.15499464007625,73.00304895959138,0
8200,19.15498751396087,73.00310579188489,0
8300,19.154973678951,73.00316260568637,0
8400,19.15496640517463,73.00324069416318,0
8500,19.15492418643615,73.00351727140013,0
8600,19.15489617728149,73.00368725427437,0
8700,19.15488945637977,73.00374399702582,0
8800,19.15486283686863,73.00380790221232,0
8900,19.15485618126201,73.00387886048864,0
9000,19.15479626996759,73.0040138292821,0
9100,19.15472301733992,73.00409920972069,0
9200,19.15468971040233,73.00412060972148,0
9300,19.15463631547695,73.00414912982097,0
9400,19.15458934466348,73.00417040685504,0
9500,19.15457597459308,73.00417042926623,0
9600,19.15434831565304,73.00420613142519,0
9700,19.15424128243502,73.00420631804859,0
9800,19.15414090894366,73.00420649270956,0
9900,19.15411413783556,73.004206539482,0
10000,19.15398713486066,73.00417139102675,0
10100,19.15396035168237,73.00415722991562,0
10200,19.1538929883493,73.00412860915154,0
10300,19.15385250890726,73.00410001944293,0
10400,19.15379858840262,73.0040785082781,0
10500,19.15371771296587,73.00402848277153,0
10600,19.15363018429631,73.00399268154307,0
10700,19.15346866249343,73.00387857129513,0
10800,19.15342161633838,73.00386424878951,0
10900,19.15332755061154,73.00382142266183,0
11000,19.15288519511436,73.00362940048501,0
11100,19.1528316414918,73.00361517516627,0
11200,19.15280487242301,73.00361515026449,0
11300,19.15277810185915,73.00360803882757,0
11400,19.15273125776013,73.00359382021004,0
11500,19.15270448057447,73.00358667618009,0
11600,19.15267101889836,73.00357244437444,0
11700,19.15262418505718,73.00355818275166,0
11800,19.15259743227853,73.00355813015457,0
11900,19.15257069580224,73.00355105991611,0
12000,19.15253727354014,73.00355105984538,0
12100,19.15251053566632,73.00355105973519,0
12200,19.15245706038395,73.00352984801323,0
12300,19.15240358297055,73.00352984775381,0
12400,19.15237015969944,73.00352984772421,0
12500,19.15234342008333,73.00352277680219,0
12600,19.15231668091562,73.00352277678474,0
12700,19.15226320335527,73.00352277657139,0
12800,19.15222309501178,73.00352277643658,0
12900,19.15219635606842,73.00352277623703,0
13000,19.15214956300781,73.003522776238,0
13100,19.15210945447706,73.00352277594513,0
13200,19.1520760310001,73.00352277595266,0
13300,19.15204929194449,73.00352277584324,0
13400,19.15201586841521,73.00352277562949,0
13500,19.15196240084555,73.00353691710373,0
13600,19.15194903692882,73.00354398749899,0
13700,19.15190226185968,73.00356519764942,0
13800,19.15189558327248,73.00357226741508,0
13900,19.15186885802865,73.00358640674654,0
14000,19.15182876643188,73.00360054552753,0
14100,19.15174863012053,73.00367123064356,0
14200,19.15174196861732,73.00369243339051,0
14300,19.15174199759587,73.0037207018661,0
14400,19.15172868379123,73.00377016577971,0
14500,19.15171537935,73.0038266877215,0
14600,19.15170875042047,73.00387613669901,0
14700,19.1517087957131,73.00391851593732,0
14800,19.15170883387764,73.00395382803289,0
14900,19.15169553437751,73.00401032013443,0
15000,19.15168896297335,73.00410915880562,0
15100,19.15168231548071,73.00413739314382,0
15200,19.15168253110204,73.00418654618487,0
15300,19.15167601179161,73.00421456892696,0
15400,19.15165638900853,73.00428457555854,0
15500,19.15165655061348,73.00431255862345,0
15600,19.15165675217239,73.00434752164527,0
15700,19.1516568734327,73.0043684905302,0
15800,19.15165711530607,73.00441041018219,0
15900,19.1516576791071,73.00450812344138,0
16000,19.15165784031166,73.00453601621879,0
16100,19.15174602113504,73.00484203064553,0
16200,19.15226303678499,73.0062431522348,0
16300,19.15270159679901,73.00725998470065,0
